#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151AA5CFE
#Date Time: 2020-09-08 00:42:59.235
#Sample rate: 4e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 4 V/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 4 V/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 15.392 kHz
#Period: 64.968815 us
#Amplitude: 10 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0

Time (s),Channel 1 (V),Channel 2 (V)
-9.24E-05,-3.238871353,-4.694523692
-9.24E-05,-3.279157757,-4.694523692
-9.23E-05,-3.279157757,-4.734502394
-9.23E-05,-3.279157757,-4.694523692
-9.23E-05,-3.319444161,-4.694523692
-9.23E-05,-3.319444161,-4.694523692
-9.22E-05,-3.319444161,-4.734502394
-9.22E-05,-3.359730565,-4.734502394
-9.22E-05,-3.359730565,-4.734502394
-9.22E-05,-3.400016969,-4.734502394
-9.21E-05,-3.400016969,-4.734502394
-9.21E-05,-3.400016969,-4.694523692
-9.21E-05,-3.440303373,-4.734502394
-9.21E-05,-3.440303373,-4.734502394
-9.20E-05,-3.440303373,-4.734502394
-9.20E-05,-3.480589777,-4.734502394
-9.20E-05,-3.480589777,-4.734502394
-9.20E-05,-3.520876181,-4.734502394
-9.19E-05,-3.520876181,-4.734502394
-9.19E-05,-3.520876181,-4.734502394
-9.19E-05,-3.561162584,-4.734502394
-9.19E-05,-3.561162584,-4.774481095
-9.18E-05,-3.601448988,-4.774481095
-9.18E-05,-3.601448988,-4.774481095
-9.18E-05,-3.601448988,-4.774481095
-9.18E-05,-3.641735392,-4.774481095
-9.17E-05,-3.641735392,-4.774481095
-9.17E-05,-3.682021796,-4.774481095
-9.17E-05,-3.682021796,-4.774481095
-9.17E-05,-3.7223082,-4.814459797
-9.16E-05,-3.7223082,-4.774481095
-9.16E-05,-3.7223082,-4.814459797
